226,Tucson IAA,725,Houston
227,Albuquerque,605,Houston
228,Albuquerque IAA,605,Houston
229,Abilene Copart,310,Houston
230,Abilene IAA,310,Houston
231,Amarillo,425,Houston
232,Austin,185,Houston
233,Corpus Christie,220,Houston
234,Dallas,200,Houston
235,El Paso,365,Houston
236,Ft. Worth,230,Houston
237,Houston,75,Houston
238,Longview,195,Houston
239,Lufkin,165,Houston
240,Mcallen,225,Houston
241,Permian Basin,455,Houston
242,San Antonio,185,Houston
243,Beaumont,215,Houston
244,Lubbock,425,Houston
245,Kansas City,555,Houston
246,Wichita,455,Houston
247,Tulsa,425,Houston
248,Oklahoma City,405,Houston
249,St. Louis,555,Houston
250,Springfield,555,Houston
251,Sikeston,555,Houston
252,Bakersfield,225,California
253,Fresno,265,California
254,Fresno IAA,265,California
255,Hayward,250,California
256,Fremont IAA,250,California
257,Los Angeles,90,California
258,Martinez,265,California
259,R. Cucamonga,90,California
260,Sacramento,265,California
261,S. Sacramento,265,California
262,S. Bernardino,90,California
263,San Diego,165,California
264,San Jose,250,California
265,Vallejos,270,California
266,Van Nuys,100,California
267,High Desert,275,California
268,Fontana IAA,100,California
269,Anaheim IAA,100,California
270,N.Hollywood,100,California
271,East Bay,275,California
272,Phoenix California,265,California
273,Tucson,380,California
274,Las Vegas,270,California
275,Reno,415,California
276,Portland,480,California
277,Eugene IAA,600,California
278,Eugene,600,California
279,Seatle,540,California
280,Pasco,675,California
281,Graham,525,California
282,Spokane,665,California
283,Expocane,800,California
284,Oregon,570,California
285,Misoula IAA,720,California
286,Billings,825,California
287,Helena,640,California
288,Saltlake City,400,California
289,Honolulu,1500,California
290,Hilo,1600,California
291,Oahu,1500,California
292,Maui,1600,California
293,Kona,1700,California
294,Kauai,2050,California
